ville,lien,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aast (64460),/management/ville/aast/ville-64001,7.3,7.6,7.1,7.1,6.6,6.2,7.5,7.6,7.5,7.8,8.2,8.4,8.5,8.2,7.6,7.3,6.9
Abainville (55130),/management/ville/abainville/ville-55001,8,8.6,9.9,9.9,9.5,8.5,10.3,10.6,10.4,11.3,11.8,11.4,11.5,11.1,10,9.5,8.8
Abancourt (59268),/management/ville/abancourt/ville-59001,9,9.6,10.2,10.2,9.5,9.5,11.5,11.3,11.3,12.1,12.8,12.5,12.7,12.4,12.1,11.9,10.9
Abancourt (60220),/management/ville/abancourt/ville-60001,7.6,8.1,8.3,8.3,7.5,7,9,9.2,8.7,9.4,10.3,10.3,10.5,10.3,9.6,9.4,8.7
Abaucourt (54610),/management/ville/abaucourt/ville-54001,7.2,7.6,7.9,7.9,7.1,6.5,8.1,8.4,8.3,8.9,9.4,9.3,9.6,9.4,8.8,8.3,7.6
Abaucourt-Hautecourt (55400),/management/ville/abaucourt-hautecourt/ville-55002,7.8,8.5,9.7,9.7,9.1,8.5,10.5,10.4,10.6,11.3,11.7,11.3,11.1,10.8,10.1,9.8,9
Abbans-Dessous (25320),/management/ville/abbans-dessous/ville-25001,6.7,7,7.3,7.3,6.6,6.3,8.1,8,7.5,7.9,8.3,8.2,8.4,8.3,7.7,7.3,7
Abbans-Dessus (25440),/management/ville/abbans-dessus/ville-25002,6.7,7,7.3,7.3,6.6,6.3,8.1,8,7.5,7.9,8.3,8.2,8.4,8.3,7.7,7.3,7
Abbaretz (44170),/management/ville/abbaretz/ville-44001,7.3,7.5,7.3,7.3,6.5,5.8,7.5,7.5,7.2,7.6,8.1,8.2,8.5,8,7.3,7,6.5
Abbécourt (02300),/management/ville/abbecourt/ville-02001,11.2,11.6,12.1,12.1,10.8,10.6,13.3,13.3,13.5,15.1,15.5,15.3,15.4,15.3,14.3,14,13.1
Abbecourt (60430),/management/ville/abbecourt/ville-60002,7.6,8.1,8.3,8.3,7.5,7,9,9.2,8.7,9.4,10.3,10.3,10.5,10.3,9.6,9.4,8.7
Abbenans (25340),/management/ville/abbenans/ville-25003,8.4,9.4,10.6,10.6,9.3,8.5,11.3,11,10.3,11.4,12.4,12.3,12,11.3,10,9.6,9.2
Abbeville (80100),/management/ville/abbeville/ville-80001,9.4,9.8,10.3,10.3,9.1,9,10.7,10.5,10.4,11.3,12,11.7,12,12.1,11,10.7,10
Abbéville-la-Rivière (91150),/management/ville/abbeville-la-riviere/ville-91001,6.2,6.3,6.1,6.1,5.2,4.9,6.1,6.5,6.5,7,7.5,7.4,7.6,7.4,6.8,6.6,6.1
Abbéville-lès-Conflans (54800),/management/ville/abbeville-les-conflans/ville-54002,7.1,7.6,8,8,7.3,6.9,9.2,9.2,9,9.7,10.4,10.4,10.3,9.8,9.3,8.7,7.9
Abbeville-Saint-Lucien (60480),/management/ville/abbeville-saint-lucien/ville-60003,7.6,8.1,8.3,8.3,7.5,7,9,9.2,8.7,9.4,10.3,10.3,10.5,10.3,9.6,9.4,8.7
Abbévillers (25310),/management/ville/abbevillers/ville-25004,8.4,9.4,10.6,10.6,9.3,8.5,11.3,11,10.3,11.4,12.4,12.3,12,11.3,10,9.6,9.2
Abeilhan (34290),/management/ville/abeilhan/ville-34001,11.1,11.5,11.6,11.6,11,10.9,13.1,13.3,13.4,14.4,15,15.1,15,14.7,13.9,13.8,13.3
Abelcourt (70300),/management/ville/abelcourt/ville-70001,6.4,6.9,7.9,7.9,7.1,6.7,8.9,8.3,8.1,9.2,9.9,9.9,9.6,8.8,8.2,7.8,7.6
Abère (64160),/management/ville/abere/ville-64002,7.3,7.6,7.1,7.1,6.6,6.2,7.5,7.6,7.5,7.8,8.2,8.4,8.5,8.2,7.6,7.3,6.9
Abergement-la-Ronce (39500),/management/ville/abergement-la-ronce/ville-39001,7.1,7.1,7.5,7.5,6.6,6.6,8.9,8.4,7.8,8.5,9.1,8.9,9,8.7,7.7,7.1,6.8
